iter	RMSE
0	5.525658929
1	5.40681441
2	5.292036258
3	5.185661934
4	5.082820178
5	4.988719486
6	4.896273964
7	4.812514736
8	4.73179733
9	4.657540174
10	4.586945055
11	4.519664802
12	4.453962823
13	4.395403191
14	4.336690587
15	4.284850468
16	4.234092781
17	4.185888086
18	4.140161394
19	4.096102421
20	4.054385994
21	4.016367184
22	3.978594616
23	3.944158631
24	3.909554602
25	3.877034015
26	3.843840232
27	3.817501419
28	3.791035601
29	3.765579587
30	3.738349252
31	3.711628246
32	3.687016401
33	3.666177134
34	3.641729933
35	3.61681808
36	3.59524258
37	3.575250828
38	3.558758074
39	3.540859297
40	3.523904175
41	3.504827345
42	3.488457529
43	3.473980437
44	3.4559324
45	3.438146851
46	3.421060829
47	3.402250426
48	3.386846855
49	3.369336721
50	3.356929964
51	3.342822117
52	3.330904347
53	3.319532799
54	3.305411054
55	3.295448047
56	3.284048185
57	3.268654658
58	3.256450321
59	3.242795002
60	3.233610732
61	3.222650346
62	3.209933342
63	3.201519477
64	3.185409904
65	3.176590634
66	3.167046433
67	3.158756863
68	3.149538995
69	3.140950998
70	3.127959892
71	3.120731395
72	3.113868856
73	3.103844467
74	3.097116414
75	3.088465808
76	3.079728256
77	3.0722737
78	3.065588234
79	3.059816028
80	3.053148717
81	3.045305692
82	3.0366689
83	3.031434753
84	3.022051284
85	3.015668339
86	3.009848999
87	3.003210607
88	2.998475997
89	2.991689194
90	2.984814088
91	2.979989545
92	2.974238891
93	2.969301445
94	2.964109442
95	2.958963617
96	2.954843758
97	2.948489157
98	2.943820605
99	2.939310429
100	2.932035446
101	2.926887684
102	2.921935773
103	2.915771908
104	2.910559848
105	2.904215961
106	2.896781113
107	2.892619038
108	2.88740555
109	2.879496898
110	2.875584256
111	2.867479136
112	2.862773
113	2.858525347
114	2.851491269
115	2.847254895
116	2.842809624
117	2.83742629
118	2.833104444
119	2.829361385
120	2.825046615
121	2.819841735
122	2.814349088
123	2.809706881
124	2.80689667
125	2.803398321
126	2.800222504
127	2.794967116
128	2.789898349
129	2.785623122
130	2.783643287
131	2.780090607
132	2.774377344
133	2.769860033
134	2.765293314
135	2.76141204
136	2.756700433
137	2.751906837
138	2.747276894
139	2.741994786
140	2.738562288
141	2.736292662
142	2.733082447
143	2.729980059
144	2.724176697
145	2.720671919
146	2.716667076
147	2.710275983
148	2.707145227
149	2.703388289
150	2.700731047
151	2.696350016
152	2.693312028
153	2.690205271
154	2.68782677
155	2.685464959
156	2.680683528
157	2.677578931
158	2.67550606
159	2.672993675
160	2.668756473
161	2.665566627
162	2.660441113
163	2.656361637
164	2.652880408
165	2.647984156
166	2.645466721
167	2.640749263
168	2.638154049
169	2.635062284
170	2.631821939
171	2.629446628
172	2.627010962
173	2.621189927
174	2.616955381
175	2.613622785
176	2.611373315
177	2.607850963
178	2.604363808
179	2.600292827
180	2.596415122
181	2.592565287
182	2.590007841
183	2.586435379
184	2.581297738
185	2.577678195
186	2.57416024
187	2.571093797
188	2.56666601
189	2.564049477
190	2.560764153
191	2.557481149
192	2.55442996
193	2.55289199
194	2.550694357
195	2.547464345
196	2.545160633
197	2.542321656
198	2.539692315
199	2.537509718
200	2.534319573
201	2.531200094
202	2.528304894
203	2.523997064
204	2.519595061
205	2.516940911
206	2.513059271
207	2.510842301
208	2.508542102
209	2.506056331
210	2.501752156
211	2.497878413
212	2.495208755
213	2.4919998
214	2.489935228
215	2.486756026
216	2.484831893
217	2.480870001
218	2.477957621
219	2.474432281
220	2.471397977
221	2.469238722
222	2.466439807
223	2.463544157
224	2.459433364
225	2.456262228
226	2.454038949
227	2.45211378
228	2.450465053
229	2.448532026
230	2.446743709
231	2.443937471
232	2.441835634
233	2.438212179
234	2.434689552
235	2.432608813
236	2.429801479
237	2.426529203
238	2.423758111
239	2.421718316
240	2.419010997
241	2.416746786
242	2.414503309
243	2.411037993
244	2.408925964
245	2.406166829
246	2.403912977
247	2.400504701
248	2.398437225
249	2.395553943
250	2.392873243
251	2.390527567
252	2.387603565
253	2.385480193
254	2.381515608
255	2.378745053
256	2.376825107
257	2.373964991
258	2.370446806
259	2.368388656
260	2.364677692
261	2.360652577
262	2.359055211
263	2.356195422
264	2.353095413
265	2.349740501
266	2.345831121
267	2.34320415
268	2.341145796
269	2.338617121
270	2.336295727
271	2.333039853
272	2.329498267
273	2.326797874
274	2.324261111
275	2.321781757
276	2.31956699
277	2.316463807
278	2.311641688
279	2.307926848
280	2.306245622
281	2.304820985
282	2.301694279
283	2.297678262
284	2.295579828
285	2.29348841
286	2.290674499
287	2.287911389
288	2.283157344
289	2.280934917
290	2.278214805
291	2.275418911
292	2.273509719
293	2.270505369
294	2.268809365
295	2.267169491
296	2.262634819
297	2.259986424
298	2.25567391
299	2.253093471
300	2.251504705
301	2.247962281
302	2.244799212
303	2.241398686
304	2.239867092
305	2.237699429
306	2.235486727
307	2.232193267
308	2.22998935
309	2.22536804
310	2.223043159
311	2.22054777
312	2.218133545
313	2.214868971
314	2.210208044
315	2.208067911
316	2.205942743
317	2.203485614
318	2.19866569
319	2.194959074
320	2.193395458
321	2.191185608
322	2.189111747
323	2.187088432
324	2.18393717
325	2.181747378
326	2.17938885
327	2.177460921
328	2.17525032
329	2.173048602
330	2.169341051
331	2.166352769
332	2.163705132
333	2.160250044
334	2.15687402
335	2.154315934
336	2.151076957
337	2.149172832
338	2.14671181
339	2.143599198
340	2.139985613
341	2.138753655
342	2.135367233
343	2.132418275
344	2.129540439
345	2.127053486
346	2.124209369
347	2.121314596
348	2.119925545
349	2.116217364
350	2.114018038
351	2.110424885
352	2.107700506
353	2.105219824
354	2.101450882
355	2.098748089
356	2.096446875
357	2.093300811
358	2.092092266
359	2.09013846
360	2.088053917
361	2.08522465
362	2.082556591
363	2.079033115
364	2.076941766
365	2.072861709
366	2.070280402
367	2.067161486
368	2.064765653
369	2.062244161
370	2.059484409
371	2.057301712
372	2.055286777
373	2.052148117
374	2.049120356
375	2.047372233
376	2.045242805
377	2.043032053
378	2.040240134
379	2.035958509
380	2.033716304
381	2.03226165
382	2.030445314
383	2.028211529
384	2.025750112
385	2.022315984
386	2.01930544
387	2.016439331
388	2.014116021
389	2.011214516
390	2.008608358
391	2.006208202
392	2.001502998
393	2.000116896
394	1.99865762
395	1.995995661
396	1.993306323
397	1.990708749
398	1.986803468
399	1.984693269
400	1.982161208
401	1.978459871
402	1.975178953
403	1.97259628
404	1.969337439
405	1.966846701
406	1.964350935
407	1.961401338
408	1.95922169
409	1.957137691
410	1.955468444
411	1.95150205
412	1.949208752
413	1.948033503
414	1.946361543
415	1.94414242
416	1.941647576
417	1.939476006
418	1.937361525
419	1.935335739
420	1.931447275
421	1.930015029
422	1.927149943
423	1.924329504
424	1.922202656
425	1.919720567
426	1.916863424
427	1.915609409
428	1.912605862
429	1.908833916
430	1.907114509
431	1.905425856
432	1.904139398
433	1.902003592
434	1.897329481
435	1.895437118
436	1.893162086
437	1.889982516
438	1.887876892
439	1.886768987
440	1.88568985
441	1.884354972
442	1.882532819
443	1.878739797
444	1.875942695
445	1.873587611
446	1.870157169
447	1.868177182
448	1.866361121
449	1.865324881
450	1.862791375
451	1.860302349
452	1.856399528
453	1.854090286
454	1.851925648
455	1.849421631
456	1.848206882
457	1.846808344
458	1.843181903
459	1.840327347
460	1.837652118
461	1.834925864
462	1.832162337
463	1.83033916
464	1.828226476
465	1.824873559
466	1.822407054
467	1.820213034
468	1.818541683
469	1.817173108
470	1.814893767
471	1.812524309
472	1.810890048
473	1.808221587
474	1.805094236
475	1.802283976
476	1.799642609
477	1.798010931
478	1.795732134
479	1.794552466
480	1.793023072
481	1.790637902
482	1.787893592
483	1.786552096
484	1.785067091
485	1.78223406
486	1.780326429
487	1.778115859
488	1.77471831
489	1.771381855
490	1.768875145
491	1.766364575
492	1.764360574
493	1.762365389
494	1.760545068
495	1.759057542
496	1.75699683
497	1.755545915
498	1.754268506
499	1.751505309
500	1.749068109
501	1.746965209
502	1.744011696
503	1.742314155
504	1.739540029
505	1.737901146
506	1.735896267
507	1.73412207
508	1.732889498
509	1.73055538
510	1.728403804
511	1.726637718
512	1.725671639
513	1.722546941
514	1.719312859
515	1.717600931
516	1.716367171
517	1.714049697
518	1.712442071
519	1.711207497
520	1.709302109
521	1.707576117
522	1.70578459
523	1.702665188
524	1.700752041
525	1.69891447
526	1.696529733
527	1.694453341
528	1.692614446
529	1.691476046
530	1.690350159
531	1.688785932
532	1.686747955
533	1.684940347
534	1.680873353
535	1.679489227
536	1.677995321
537	1.675772721
538	1.672612939
539	1.670581259
540	1.66886127
541	1.667450073
542	1.666034973
543	1.664813829
544	1.662742739
545	1.66139935
546	1.658750318
547	1.657274764
548	1.65556028
549	1.653139616
550	1.650688993
551	1.648095128
552	1.646759078
553	1.64563268
554	1.643730576
555	1.642044634
556	1.639691165
557	1.638347411
558	1.636076253
559	1.634084161
560	1.632734899
561	1.629854947
562	1.628532242
563	1.626290541
564	1.625184443
565	1.622730181
566	1.620251693
567	1.61774573
568	1.615559446
569	1.613112133
570	1.611425278
571	1.609394869
572	1.607978048
573	1.604800167
574	1.603112655
575	1.601609218
576	1.600299188
577	1.599034475
578	1.597152464
579	1.595103763
580	1.59321026
581	1.592099995
582	1.590300473
583	1.588991978
584	1.586958275
585	1.584899871
586	1.583289322
587	1.580886235
588	1.578291877
589	1.575923541
590	1.5745822
591	1.572859202
592	1.570074806
593	1.569046165
594	1.567138324
595	1.565906086
596	1.564922126
597	1.563225491
598	1.562347109
599	1.56099986
600	1.559176984
601	1.557673435
602	1.55550762
603	1.553495553
604	1.551443399
605	1.54935419
606	1.54689556
607	1.545310566
608	1.544189786
609	1.542780754
610	1.539792664
611	1.537945769
612	1.536196695
613	1.533909914
614	1.532131904
615	1.530179624
616	1.528666315
617	1.526988002
618	1.524647738
619	1.523400696
620	1.521304282
621	1.520741526
622	1.518289179
623	1.516351849
624	1.515156461
625	1.513913483
626	1.510025016
627	1.508078
628	1.505781917
629	1.504217573
630	1.501849302
631	1.500585711
632	1.498185411
633	1.496891801
634	1.494896618
635	1.49327381
636	1.491470368
637	1.488621573
638	1.486893485
639	1.48557841
640	1.482709803
641	1.481328759
642	1.479832962
643	1.477576113
644	1.47552073
645	1.474102889
646	1.472923635
647	1.470993746
648	1.468714173
649	1.467764233
650	1.466541277
651	1.465443397
652	1.464064686
653	1.46258889
654	1.460709809
655	1.459008846
656	1.457330827
657	1.456072225
658	1.45336615
659	1.451951138
660	1.450022535
661	1.448305124
662	1.446423942
663	1.444945334
664	1.443349056
665	1.441940203
666	1.440925414
667	1.43981955
668	1.43771562
669	1.435437771
670	1.433612085
671	1.431495355
672	1.43011652
673	1.428193453
674	1.426169795
675	1.424542114
676	1.423375436
677	1.421367458
678	1.420578758
679	1.419571721
680	1.417984222
681	1.415776406
682	1.414109029
683	1.412758265
684	1.411794504
685	1.41101508
686	1.409386985
687	1.4079743
688	1.406570846
689	1.404382173
690	1.401688928
691	1.399889284
692	1.397754856
693	1.396551099
694	1.394699885
695	1.393540949
696	1.392620895
697	1.390308091
698	1.388053634
699	1.387075899
700	1.385587645
701	1.384351775
702	1.382600731
703	1.381837563
704	1.380798227
705	1.378644523
706	1.377117733
707	1.375538483
708	1.373826524
709	1.372435005
710	1.371096092
711	1.370183822
712	1.368512354
713	1.367184707
714	1.366032549
715	1.364572243
716	1.362573071
717	1.360715664
718	1.359644872
719	1.357822041
720	1.356470481
721	1.355515959
722	1.354559474
723	1.352586087
724	1.349947543
725	1.348805681
726	1.347590188
727	1.346435813
728	1.345289163
729	1.344522505
730	1.343109401
731	1.34129542
732	1.340165692
733	1.339008033
734	1.336023584
735	1.33359718
736	1.332076514
737	1.33090006
738	1.328912355
739	1.327587587
740	1.326801534
741	1.326031405
742	1.324746413
743	1.323930354
744	1.323077017
745	1.32086954
746	1.318956454
747	1.317617068
748	1.316317688
749	1.31439247
750	1.312736683
751	1.311480197
752	1.309423258
753	1.308658002
754	1.307478094
755	1.305133098
756	1.303542777
757	1.301738752
758	1.300057977
759	1.298694683
760	1.296177759
761	1.294918735
762	1.294226618
763	1.292818719
764	1.291388192
765	1.28953859
766	1.288953247
767	1.287667738
768	1.286543781
769	1.285411967
770	1.284500325
771	1.283232271
772	1.28153514
773	1.279987413
774	1.279382481
775	1.277788659
776	1.276714444
777	1.27549609
778	1.274283297
779	1.272979346
780	1.272489805
781	1.271061103
782	1.269876416
783	1.268437024
784	1.267925123
785	1.266359495
786	1.265513167
787	1.263965218
788	1.26304884
789	1.261198031
790	1.25940866
791	1.258417357
792	1.25726944
793	1.256028622
794	1.254517508
795	1.253505096
796	1.252122702
797	1.25072355
798	1.248616182
799	1.247634571
