iter	Passed	Remaining
0	21	17389
1	40	16011
2	61	16246
3	80	16096
4	98	15750
5	118	15748
6	138	15691
7	156	15554
8	178	15724
9	202	15996
10	228	16443
11	248	16345
12	267	16190
13	287	16173
14	307	16089
15	325	15945
16	342	15798
17	361	15720
18	379	15615
19	397	15533
20	420	15631
21	470	16676
22	509	17242
23	535	17331
24	565	17562
25	606	18086
26	661	18957
27	684	18906
28	710	18907
29	731	18789
30	754	18742
31	777	18676
32	797	18552
33	819	18489
34	839	18371
35	858	18252
36	875	18082
37	893	17949
38	913	17838
39	933	17760
40	952	17647
41	974	17611
42	1004	17708
43	1028	17688
44	1068	17944
45	1091	17914
46	1109	17798
47	1142	17921
48	1177	18065
49	1201	18040
50	1224	18011
51	1244	17921
52	1266	17878
53	1284	17769
54	1302	17663
55	1318	17545
56	1338	17467
57	1354	17355
58	1385	17419
59	1414	17467
60	1432	17379
61	1449	17281
62	1467	17188
63	1483	17088
64	1500	16994
65	1516	16891
66	1571	17213
67	1589	17136
68	1608	17063
69	1624	16963
70	1644	16909
71	1661	16820
72	1678	16742
73	1695	16656
74	1711	16567
75	1728	16489
76	1748	16442
77	1765	16362
78	1780	16273
79	1797	16201
80	1813	16117
81	1830	16047
82	1846	15973
83	1863	15908
84	1880	15838
85	1896	15768
86	1914	15710
87	1931	15648
88	1948	15587
89	1964	15523
90	1980	15455
91	1996	15388
92	2012	15322
93	2028	15259
94	2044	15197
95	2063	15155
96	2093	15197
97	2123	15235
98	2155	15281
99	2178	15268
100	2197	15228
101	2214	15173
102	2230	15116
103	2247	15061
104	2264	15007
105	2282	14966
106	2300	14919
107	2316	14863
108	2337	14842
109	2353	14784
110	2372	14746
111	2388	14691
112	2404	14639
113	2420	14585
114	2435	14530
115	2452	14484
116	2469	14434
117	2485	14384
118	2501	14337
119	2516	14283
120	2533	14239
121	2549	14187
122	2565	14143
123	2582	14100
124	2599	14055
125	2616	14016
126	2648	14057
127	2667	14022
128	2683	13977
129	2699	13932
130	2717	13900
131	2744	13908
132	2770	13916
133	2792	13901
134	2810	13867
135	2828	13831
136	2846	13798
137	2866	13770
138	2892	13776
139	2925	13812
140	2951	13815
141	2969	13779
142	2986	13743
143	3002	13701
144	3025	13688
145	3073	13789
146	3111	13841
147	3147	13885
148	3178	13910
149	3195	13868
150	3211	13826
151	3228	13783
152	3243	13736
153	3263	13710
154	3282	13680
155	3306	13670
156	3336	13687
157	3353	13646
158	3368	13602
159	3384	13561
160	3401	13523
161	3418	13483
162	3434	13441
163	3451	13404
164	3470	13376
165	3494	13366
166	3510	13328
167	3528	13293
168	3546	13262
169	3569	13247
170	3589	13222
171	3605	13185
172	3621	13144
173	3639	13114
174	3657	13083
175	3677	13060
176	3700	13046
177	3721	13024
178	3739	12993
179	3757	12964
180	3775	12933
181	3813	12970
182	3848	12998
183	3874	12993
184	3906	13005
185	3925	12980
186	3943	12948
187	3964	12927
188	3997	12944
189	4027	12952
190	4048	12930
191	4072	12917
192	4112	12956
193	4136	12942
194	4170	12961
195	4203	12973
196	4225	12955
197	4272	13011
198	4295	12995
199	4319	12979
200	4348	12981
201	4371	12962
202	4408	12987
203	4448	13019
204	4483	13035
205	4506	13016
206	4544	13041
207	4582	13063
208	4611	13063
209	4633	13039
210	4661	13034
211	4683	13011
212	4702	12982
213	4726	12966
214	4746	12938
215	4768	12913
216	4789	12890
217	4810	12864
218	4837	12854
219	4856	12825
220	4879	12805
221	4924	12844
222	4975	12895
223	4999	12878
224	5024	12863
225	5058	12869
226	5078	12840
